"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",14,4,0,10,11,8,14,4,11,8,14
"2",5,0,10,0,10,1,13,9,10,1,15
"3",17,1,5,9,13,2,10,8,8,13,9
"4",0,0,14,5,12,3,16,8,13,1,18
"5",11,7,17,11,13,10,11,0,13,8,13
"6",7,8,4,10,9,6,15,1,12,11,16
"7",9,5,11,6,11,8,12,9,10,7,9
"8",12,7,7,1,13,11,5,7,11,15,10
"9",15,3,15,13,9,2,8,9,10,11,10
"10",14,8,13,13,14,1,17,10,13,12,6
"11",13,5,12,9,7,6,11,10,7,11,14
"12",5,14,14,10,13,8,10,0,14,12,14
"13",0,0,0,8,11,9,9,10,10,8,11
"14",2,8,10,12,12,1,10,9,5,7,12
"15",10,9,0,0,0,0,0,0,0,0,0
"16",6,12,1,10,14,2,4,11,10,4,14
"17",6,12,4,10,13,8,11,4,12,0,10
"18",2,3,18,12,14,13,12,7,12,9,20
"19",0,0,0,11,11,6,9,7,0,7,13
"20",6,10,13,7,13,2,10,13,13,3,11
"21",9,1,0,0,0,0,0,0,0,0,0
"22",9,6,14,14,12,10,10,12,13,10,13
"23",7,12,4,11,1,2,13,10,11,10,12
"24",5,8,12,6,12,9,9,6,13,4,8
"25",6,9,0,0,0,0,0,0,0,0,0
"26",5,9,11,13,12,8,11,12,12,11,0
"27",5,0,12,8,9,12,13,12,9,11,14
"28",7,15,12,10,12,9,15,8,13,10,9
"29",11,0,14,10,13,9,14,13,14,6,14
"30",10,7,0,0,0,0,0,0,0,0,0
"31",11,0,6,13,6,9,9,8,13,12,16
"32",4,5,2,13,15,9,16,5,15,12,13
"33",9,2,11,0,13,14,12,0,13,12,11
"34",7,6,3,11,4,10,13,11,8,10,2
"35",7,12,9,5,8,9,9,8,11,14,11
"36",10,6,11,8,6,8,17,11,12,10,11
"37",0,0,0,0,0,0,0,0,0,11,11
"38",0,6,7,7,7,3,10,8,14,0,0
"39",6,6,8,7,9,9,12,11,13,8,15
"40",9,14,5,8,8,9,7,7,14,6,15
"41",0,4,12,8,7,6,15,12,13,13,8
"42",12,7,10,5,11,8,9,10,10,0,15
"43",0,0,12,7,14,11,9,11,12,10,19
"44",0,0,13,5,8,1,14,11,12,0,9
"45",11,8,15,9,9,6,12,14,11,9,10
"46",0,7,11,10,12,11,15,9,11,7,18
"47",0,0,10,13,10,10,7,11,10,11,11
"48",3,6,0,10,9,11,16,5,12,3,11
"49",0,0,0,11,11,12,7,5,16,0,11
"50",0,0,10,10,16,12,11,10,16,0,7
"51",0,0,14,5,9,9,8,11,9,7,13
"52",9,10,16,7,19,4,12,11,10,7,9
"53",3,1,22,11,14,2,4,5,10,13,9
"54",5,9,15,6,14,8,7,10,12,13,12
"55",0,7,15,11,8,11,12,10,14,10,6
"56",8,4,16,9,10,7,12,9,13,7,16
"57",0,2,9,5,9,12,15,6,13,2,12
"58",10,3,9,15,12,6,14,11,12,9,12
"59",0,0,10,11,12,11,13,7,15,1,14
"60",0,0,11,2,14,2,6,9,9,11,11
"61",8,11,12,5,8,5,8,3,10,7,12
"62",10,5,7,11,11,11,11,12,11,8,15
"63",9,1,11,14,11,4,9,10,11,11,13
"64",3,2,15,13,15,5,11,5,13,8,12
"65",8,14,10,4,7,8,10,8,11,13,11
"66",0,2,10,13,13,8,15,11,10,12,10
"67",7,8,13,9,15,2,14,9,10,8,11
"68",0,2,9,7,11,2,13,7,9,7,17
"69",7,8,7,11,12,3,14,5,17,13,13
"70",0,0,13,9,14,6,13,7,13,3,3
"71",9,4,12,8,6,5,7,11,11,7,14
"72",17,3,3,10,17,10,17,8,9,4,14
"73",11,15,17,7,7,4,13,7,12,6,10
"74",7,14,15,7,8,0,0,0,0,0,0
"75",9,1,13,8,8,2,11,12,13,8,12
"76",0,0,0,0,0,0,12,11,13,9,13
"77",12,6,11,11,2,10,10,15,9,6,12
"78",8,10,12,15,8,8,11,8,10,8,17
"79",0,0,0,0,0,0,13,12,8,2,3
"80",10,9,9,6,8,9,8,5,12,10,13
"81",16,6,5,5,12,8,14,7,8,7,12
"82",13,0,3,10,5,11,0,7,6,10,9
"83",6,10,14,4,0,0,0,0,0,0,0
"84",10,11,12,13,2,9,8,8,5,5,14
"85",0,0,0,9,12,10,11,5,8,7,11
"86",11,0,12,8,12,2,13,10,11,8,0
"87",8,8,12,8,14,1,20,10,11,4,15
"88",12,3,14,5,11,13,14,10,18,5,12
"89",0,0,0,10,12,9,14,7,0,12,15
"90",5,8,9,11,10,8,14,11,10,6,15
"91",8,10,14,7,7,2,13,12,15,4,15
"92",7,12,12,9,9,2,9,8,12,9,12
"93",6,0,12,12,15,15,10,4,10,3,13
"94",7,13,14,6,17,0,13,11,10,9,11
"95",8,11,8,13,12,4,12,11,14,9,10
"96",0,0,0,0,0,0,9,7,12,10,12
"97",6,2,14,9,13,3,12,9,8,7,14
"98",5,0,0,3,10,13,13,6,10,7,0
